AverageAction,PolicyRegParamNorm,StdReturn,steps,AverageAbsQYDiff,AverageReturn,AverageAbsY,AverageAbsQ,AveragePolicySurr,AverageQ,MinReturn,AverageQLoss,AverageY,AverageDiscountedReturn,MaxReturn,QFunRegParamNorm
0.505694838578,22.0595813219,18.5881967652,8400,1.48506499333,-28.7580916166,7.91607704604,7.76974503575,1.11058193098,-2.40976775911,-58.9058461531,7.65000118098,-2.43373798442,2.8479406917,24.2157469656,52.593878451
0.445481349808,22.1749878107,22.0273822087,8700,1.53343644333,-32.082646567,8.49672977867,8.38628602417,1.23633411145,-2.52920072568,-76.8720229585,10.7986604832,-2.51573211191,6.46704592827,15.0694383844,52.8301549782
0.511256751265,22.3271738403,18.6792256718,9000,1.63072798754,-36.7635591552,8.64535279095,8.46453718016,1.33864018079,-2.50410372305,-71.7133486175,11.5031657417,-2.54202645309,1.92375384985,8.3532579125,53.5449958077
0.505267966247,22.5422967523,16.8932506608,9300,1.57683888088,-31.570740339,8.585856996,8.44570443198,0.662819237324,-1.99115202079,-70.4113025727,12.1180320217,-1.96929073255,3.41343628231,3.33825751101,54.0182725827
0.471127082976,22.6736024283,19.4859591633,9600,1.4380147912,-2.0750583755,8.52679249385,8.39482125945,0.620533558029,-1.82344139126,-50.0165887894,9.2694682457,-1.82250429543,13.801230816,32.5420532895,54.47329459
0.506522966929,22.7760262763,20.2956959222,9900,1.46704288938,-30.4975272125,8.58694747473,8.43070817811,0.59637472567,-1.6805935751,-78.7186150366,8.79247797476,-1.69781769304,6.75008363483,3.51754174935,55.1531069235
0.475165782885,22.9339258192,20.2307123636,10200,1.39275357726,-34.0817232274,8.41236092725,8.30462669518,0.301287032104,-1.41786949622,-71.8209927028,6.43347883133,-1.42677024079,5.27191875339,14.7623654378,55.6580343761
0.439438376519,23.0632249546,17.4445174619,10500,1.39676011569,-22.5478548295,8.06258552946,7.93845643096,-0.47894390417,-0.662090232578,-63.2293621747,7.46099984747,-0.645067078703,8.18190563214,14.7226296037,55.7364401519
0.441465148237,23.2211655387,40.9624523755,10800,1.37301717347,-29.4108812271,7.01057929584,6.89902476228,-1.61740366315,0.772642689793,-160.925187554,6.59588063659,0.760556950415,6.25172808062,17.2838458663,56.1118855686
0.503984405575,23.3673692824,23.1188490121,11100,1.39564176895,-43.7984408598,6.56855475497,6.45842811115,-2.20244511937,1.45272663666,-83.8881072056,8.46370784799,1.46113393869,4.80775459686,4.05411507104,56.4369071643
0.445926326083,23.4505012837,33.844586272,11400,1.32409257715,-25.944130862,6.04558246176,5.89910839406,-2.95058229309,2.27672039541,-150.298067321,7.51106780256,2.27700880818,8.61261594967,15.6394407693,56.6477840572
0.443665339595,23.5388372797,31.4293061348,11700,1.26931098934,-48.6628029741,5.54103360592,5.44229262817,-3.759866621,3.07738113068,-153.603018345,7.03889713567,3.09300048056,0.764997794306,-1.04242996303,57.3023766257
0.452983429414,23.6909852573,27.9229965717,12000,1.22216115977,-27.8483426739,5.29515582185,5.18654700498,-4.38284032963,3.72630539289,-136.44952908,5.26888871012,3.72343396111,4.1394653961,7.70734293469,57.5676034192
0.454573465309,23.8263010509,37.6658776153,12300,1.20755759635,-33.8514105067,5.5321172765,5.41180951472,-4.35676565716,3.73649908298,-156.094813986,3.80403317165,3.74270965748,4.11939143144,11.7945983325,57.8866017784
0.439023157611,23.8880788003,61.6158755545,12600,1.12342119215,-59.0656999763,5.52608247265,5.44317068419,-4.47859052019,3.84543121842,-213.955774608,2.25989049534,3.84644822472,1.12164892076,19.2633692318,58.0641329005
0.418777787091,23.9431397162,39.1523002831,12900,1.14493350615,-51.2944189115,5.59666119806,5.51503318901,-4.69321403837,4.09473466746,-167.749191257,2.61262519293,4.10568215193,0.465772766022,6.09779848512,58.2269543968
0.435199835084,24.0564387135,57.9611307566,13200,1.12827177836,-64.6042388186,5.56402250447,5.47734039536,-4.85945512363,4.2368162578,-179.891853622,2.68900521576,4.23637928571,-6.3134588652,6.83082412275,58.5739165884
0.452446435935,24.1741464577,22.0192304757,13500,1.15361199819,-40.1402775079,5.81478633004,5.71970255434,-4.82751500419,4.26047715699,-86.1289473745,2.95705048609,4.26734111077,5.01534699709,-5.44916695,58.6539765021
0.473437418183,24.3307270243,21.2540897484,13800,1.17096638634,-23.4451154145,5.9345462705,5.8406659289,-5.01880536108,4.41127070703,-50.3378061508,2.8536641505,4.42360064163,3.84961780836,22.4854133755,58.8198184425
0.458764136578,24.4139629244,44.3396998068,14100,1.1568826944,-35.1674997537,5.94342461265,5.85608624544,-4.91577749796,4.33132898468,-181.337204923,3.10873807026,4.3397569757,7.48064625287,8.81820681628,59.0771045081
0.475581389359,24.474466076,54.7272372625,14400,1.08043927728,-33.5776973693,6.04037686434,5.97052376248,-5.07744801602,4.55173074418,-207.710594169,2.17453418287,4.54840164598,0.172768609213,10.3242289234,59.2653856887
0.495920503208,24.5867603351,50.5084245359,14700,1.1013870234,-58.6452417437,6.36472219403,6.28970186116,-5.20316271891,4.79113817853,-184.293188771,2.45179157605,4.796616532,-5.47349115735,-12.071079513,59.437149981
0.499335608349,24.6823428158,35.0114053076,15000,1.07760573148,-38.1585123111,6.23421803243,6.18346540938,-5.30496838384,4.83322718216,-164.291267482,2.33390336751,4.83220091329,4.83555941874,13.6415385941,59.7052791953
0.433172727007,24.800995031,17.8694056062,15300,1.09043647852,-30.2913576733,6.15538640785,6.08226091603,-5.41297274109,4.97984806135,-58.6324132107,2.73925200421,4.98995133661,10.0099856319,10.7094609739,59.9170119094
0.461136383432,24.9299206274,36.0989935028,15600,1.04501064728,-42.0216138835,6.09158039343,6.04504282364,-5.63380504873,5.25612472102,-190.259696744,2.54438678428,5.25926861831,2.18810022636,8.40873230761,60.0970897634
0.427353285506,25.0227935658,51.9299989967,15900,0.983067284268,-41.0443739037,6.08519306856,6.04521621723,-5.78436735827,5.40809385974,-192.454629182,1.84477132484,5.4053456222,5.22940778206,15.5185127367,60.2696679008
0.42014402843,25.0644065143,56.1384853498,16200,0.959989663551,-39.4863649702,6.12753748628,6.08712476625,-5.86850816334,5.53772450258,-212.801023332,1.96600680763,5.54655766004,1.73768937479,6.8782852312,60.4347864962
