MinReturn,Steps,StdReturn,MaxReturn,Epoch,AverageReturn
-180.116734526,190800,36.9629527582,-33.0302645085,159,-102.66314535
-138.684328781,192000,28.7714442712,-40.891770879,160,-86.3572795719
-225.981381016,193200,55.292336652,-7.90398891756,161,-100.535075469
-141.244151496,194400,31.6698486623,-11.5219972793,162,-87.1121786282
-179.717973446,195600,49.1759130471,17.8866558154,163,-93.9771075109
-233.295684902,196800,76.4461295586,98.1464758048,164,-63.4076556477
-274.76310652,198000,40.8685956397,-62.0681435193,165,-122.352798266
-198.810017554,199200,60.0384430891,4.91029614284,166,-102.224064033
-195.948248365,200400,37.9892523908,-70.1890253358,167,-112.265576604
-319.809702923,201600,89.6083538861,51.8211280867,168,-75.4619393234
-192.682358301,202800,40.6402613531,-58.0346987215,169,-112.042025065
-307.777270421,204000,54.6667512665,-50.1392216342,170,-138.003480925
-199.63352453,205200,74.4197391945,108.433580998,171,-51.9441455915
-193.078284254,206400,48.3349019998,-40.6249989232,172,-107.686777697
-211.013339012,207600,43.3238278685,-57.7431110296,173,-116.319812703
-189.955759101,208800,39.2863776006,-74.5056243024,174,-113.637373991
-183.782619596,210000,30.0829198036,-70.7897848485,175,-103.048527031
-322.898841062,211200,75.8502258965,-9.64265306615,176,-127.990611082
-167.349407957,212400,36.0820011927,-49.3739496087,177,-87.5307592581
-300.08853315,213600,58.8026069406,-69.8701787007,178,-148.655934604
-217.292561144,214800,57.3575581123,-8.0090271845,179,-98.6347758096
-191.516059466,216000,43.3508624606,-41.9693574137,180,-105.829672185
-216.249478438,217200,52.5164208572,-43.8489825125,181,-109.711448452
-180.821115051,218400,68.3780394954,48.5990203474,182,-69.838063639
-186.719438434,219600,55.4229722609,8.91583275972,183,-77.2688660347
-195.006908385,220800,59.9400475125,-6.61810059871,184,-85.8166895033
-210.414231819,222000,46.4582103509,-68.2603429776,185,-123.519374605
-297.319018877,223200,76.2565868624,12.7443376842,186,-122.465265932
-213.279635333,224400,55.3962425048,-42.54897679,187,-115.779055416
-271.824963174,225600,82.5426358072,30.6949777908,188,-114.689621068
-293.512847134,226800,72.6994326021,-46.6035553643,189,-145.931846908
-353.644175369,228000,90.9584232761,-20.8237213649,190,-149.506832848
-342.040266313,229200,93.1688737429,-14.8581767714,191,-144.631622148
-315.899185464,230400,80.2395152545,-50.2160371187,192,-154.450365956
-353.09165641,231600,106.5661872,-7.57577928328,193,-148.494016739
-278.962428512,232800,69.7926515944,-73.1707436192,194,-163.390958019
