ExplainedVariance,Perplexity,AveragePolicyStd,NumTrajs,MaxReturn,LossBefore,LossAfter,MeanKL,Entropy,Iteration,MinReturn,AverageReturn,StdReturn,AverageDiscountedReturn,dLoss,MeanKLBefore
1.4012981886e-09,4.13273135412,1.0,14,-26.1504488995,-2.10942374679e-16,-0.000657596230658,0.0102182910858,1.4189385332,0,-35.2903337205,-29.996189353,2.67849677705,-9.37986423197,0.000657596230658,0.0
0.903258421126,4.01034605063,0.970386339442,14,-25.8908796075,5.0885221962e-18,-0.0148167241732,0.0108683686106,1.38887753451,1,-33.0936210946,-28.6293835012,2.18494398619,-9.35186184967,0.0148167241732,0.0
0.768011960421,3.68062178458,0.890602719895,14,-21.1292318549,2.00474557589e-16,-0.00247141926201,0.0107234883157,1.30308170111,2,-28.6805072434,-24.2755177615,1.9733152112,-7.68857201224,0.00247141926201,0.0
0.888559345749,3.6309071918,0.878573243861,14,-19.6718066459,-1.199173036e-16,-0.00420833387066,0.0117551755256,1.28948253215,3,-25.5493750605,-22.9257510223,1.74403021107,-7.21296213048,0.00420833387066,0.0
0.870717642673,3.52725664482,0.853492845913,14,-20.5436860934,-3.57914756034e-17,-0.00047198278703,0.00926587739221,1.26052041436,4,-26.1697927584,-23.0909507743,1.74992019187,-7.38066831302,0.00047198278703,0.0
0.926578854906,3.47471132699,0.840778417288,14,-20.6169662573,-1.59264136271e-17,-0.0104086457668,0.00889626595633,1.2455114042,5,-25.9232528533,-22.8787575404,1.3468550651,-7.37381830686,0.0104086457668,0.0
0.885874869483,3.38605285554,0.819325662716,14,-17.0803489128,1.77714985585e-16,-2.30606058834e-05,0.0010150685827,1.21966489361,6,-22.9610560723,-20.5902677782,1.68104564065,-6.75960596936,2.30606058835e-05,0.0
0.900285468262,3.34850649224,0.810240541984,14,-18.5712692388,1.05259716287e-16,-0.000468340668932,0.00414081139074,1.20851442322,7,-23.9601781777,-21.2423079767,1.47029052661,-6.70938007038,0.000468340668932,0.0
0.824730328315,3.27442069811,0.792313948703,14,-17.4295242983,2.04730412517e-17,-0.0189205918119,0.0147462425271,1.18614096737,8,-23.7931088656,-20.0653335321,1.96060874676,-6.30346755959,0.0189205918119,0.0
0.880226027177,2.97793379196,0.720572797211,14,-14.8293664791,1.43324505703e-16,-0.000151384940218,0.000251397132985,1.09122970163,9,-18.966668423,-17.3125912106,1.12471403616,-5.67202454007,0.000151384940218,0.0
0.895338413143,2.95751679206,0.715632480953,14,-14.892758747,-3.37240156435e-16,-0.022334757443,0.0152822205792,1.08434999464,10,-19.6010428615,-17.121242889,1.23330638441,-5.5132431725,0.022334757443,0.0
0.765831119397,2.74371070584,0.663897667364,14,-12.6369044482,-2.43508916734e-16,-0.00363989286714,0.00904406382259,1.00931127641,11,-17.5733420869,-14.1049695219,1.41866368767,-4.4538272137,0.00363989286714,0.0
0.899244906627,2.71163859609,0.65613715573,14,-11.1208426768,-1.22573908695e-16,-0.0060703192758,0.0121351508305,0.997553100169,12,-14.7396785486,-12.8486613729,1.00744701791,-4.09574867184,0.0060703192758,0.0
0.878023828357,2.66206069969,0.644140756218,14,-10.8073222715,-1.82195528505e-16,-0.020842555609,0.0148962541497,0.979100522001,13,-15.5011359117,-12.8631197717,1.26615428338,-4.03274074065,0.020842555609,0.0
0.840626252837,2.38167702819,0.576296116082,14,-9.2180451714,-8.77604867085e-18,-8.77604867085e-18,0.0,0.86780487324,14,-11.1377967311,-10.1147468437,0.499767663084,-3.30776706273,0.0,0.0
0.847988200742,2.38167702819,0.576296116082,14,-8.0204868631,-1.56012768841e-16,-0.0200410175093,0.0195474549328,0.86780487324,15,-11.5230218782,-9.60496688304,1.09571627295,-3.08449963861,0.0200410175093,0.0
0.838103386441,2.12869776205,0.515082539766,14,-6.98375762032,2.25414924821e-16,2.25414924821e-16,0.0,0.755510413435,16,-9.67726659673,-8.17758459305,0.627722384692,-2.65976142504,0.0,0.0
0.905712290691,2.12869776205,0.515082539766,14,-7.12969250938,-1.81838671105e-16,-0.00525620794745,0.00584431798256,0.755510413435,17,-9.29926340798,-8.07045215667,0.534269804571,-2.56461322354,0.00525620794745,0.0
0.859426982532,2.0669020047,0.500129775587,14,-6.55602847696,5.90037278296e-17,-0.00148736885661,0.00383960210255,0.726050870141,18,-9.07771940014,-8.0587218156,0.646219053733,-2.56152086874,0.00148736885661,0.0
0.894467020201,2.02120126395,0.489071534236,14,-6.93267930142,-1.40985107187e-16,-0.00379975432128,0.0142092498302,0.70369201978,19,-9.17794948666,-7.85699436583,0.712288416726,-2.49461678964,0.00379975432128,0.0
0.884106225112,1.89097411385,0.457560376374,14,-6.68606594254,1.58271213595e-16,-0.0182432475927,0.0129383977709,0.637092100447,20,-9.1867714974,-7.8037478909,0.758512990919,-2.49025441995,0.0182432475927,0.0
0.881559645343,1.83912733708,0.445014974237,14,-5.60254155167,-1.15357459035e-16,-0.00667458422014,0.00663529536448,0.609291185793,21,-7.39998758592,-6.57578523772,0.508902165181,-2.0646245358,0.00667458422014,0.0
0.795642084114,1.81367775647,0.438856920777,14,-4.92362580145,-7.77420456053e-17,-0.0068245454288,0.012604829841,0.595356693392,22,-7.9212497006,-6.10207691431,0.793156163267,-1.92338569132,0.0068245454288,0.0
0.880089351928,1.80084329503,0.435751356843,14,-4.86495913455,3.30159180418e-17,-0.00521827193576,0.00616382826098,0.588255052428,23,-6.48176848909,-5.71378204039,0.475827512525,-1.83610934124,0.00521827193576,0.0
