Perplexity,AverageReturn,Iteration,MaxReturn,MinReturn,StdReturn,MeanKL,LossAfter,MaxKL,NumTrajs,Entropy,AverageDiscountedReturn,LossBefore,ExplainedVariance
2.619743786,-500.0,0,-500.0,-500.0,0.0,0.4557744688192028,0.018265738799227847,1.7366089835709744,2,0.96307652139,-99.3429516958,0.0046878304746428585,1.67202918178e-11
2.42509715679,-199.0,1,-148.0,-258.0,42.2374241639,0.16333796510414098,-0.008996237556748934,0.5695422345658634,5,0.885871588241,-85.2153063237,-0.03461703285099857,0.138335967756
1.95389426772,-115.875,2,-86.0,-136.0,19.6050854372,0.0672062786155806,-0.032099995431887914,0.31255445508715457,8,0.669824441472,-68.1685588595,-0.028032488475487283,0.603806560222
1.66296979413,-113.857142857,3,-91.0,-202.0,36.3924190356,0.03274845526946707,-0.02651676625327374,0.0996297662879157,7,0.508605036567,-66.430583259,-0.009651171234063958,-0.294867999756
1.50307429385,-94.4444444444,4,-77.0,-120.0,13.2002618754,0.01433897490575926,-0.029987577607154897,0.08914410070168169,9,0.40751253992,-60.9605014392,-0.020159301095921518,0.651114904064
1.37495747182,-88.7777777778,5,-76.0,-113.0,10.5385828457,0.01750446698605107,-0.08916148115909792,0.06693656841561775,9,0.318422801057,-58.8050735092,-0.06992844584248441,0.864161583949
1.26887598019,-87.0,6,-65.0,-146.0,21.1423745119,0.008580405263164717,-0.040010483320181006,0.07307728563093238,10,0.238131453608,-57.462178933,-0.03096955311065013,0.478233294948
1.19858801962,-77.3636363636,7,-64.0,-95.0,8.94704346569,0.0036115278170547652,-0.014593315465753178,0.025765884249365142,11,0.181144213679,-53.8621974312,-0.009536264236912081,0.835753016981
1.16138109667,-81.6,8,-64.0,-106.0,11.6807534004,0.002320224017826172,-0.020858844184549037,0.031586742197153655,10,0.14960989749,-55.6608363564,-0.013277676418341969,0.7804865906
1.14198757824,-85.7,9,-72.0,-108.0,12.5463141998,0.0014638090562358575,0.0006903981956857093,0.040413902553352615,10,0.132770233979,-57.4100925889,0.0032972703596729934,0.814185954171
1.10051695802,-97.6666666667,10,-65.0,-236.0,50.4138428961,0.001143910678407715,-0.01973313820485176,0.06941045172557422,9,0.0957800312446,-59.0090604795,-0.016495300899790764,-2.29501911062
1.11152809853,-76.8181818182,11,-64.0,-90.0,8.93225189787,0.0006756083995598347,-0.014628114537964119,0.01928124981082646,11,0.105735733933,-53.6058916174,-0.01383788725080883,0.749502087718
1.09982669202,-89.3333333333,12,-64.0,-115.0,14.236104336,0.0005975121778115811,-0.040082536102994636,0.0145458351783073,9,0.0951526146818,-58.8367679403,-0.037419613358245424,0.78491743774
