MeanKL,AveragePolicyStd,AverageDiscountedReturn,Entropy,Perplexity,LossBefore,LossAfter,dLoss,MeanKLBefore,AverageReturn,NumTrajs,Iteration,StdReturn,MinReturn,ExplainedVariance,MaxReturn
0.0,1.0,-160.81979915,2.83787706641,17.0794684453,-1.5540391168799853e-17,-1.5540391168799853e-17,0.0,0.0,-306.047344381,45,0,155.630828394,-641.807655081,1.40909506285e-12,-92.1371227493
0.0,1.0,-149.887349797,2.83787706641,17.0794684453,-1.1074985509450948e-17,-1.1074985509450948e-17,0.0,0.0,-296.3278316,43,1,162.566432495,-700.41349995,0.429177988666,-48.5409217846
0.0,1.0,-173.720838301,2.83787706641,17.0794684453,-5.7129829740574095e-18,-5.7129829740574095e-18,0.0,0.0,-340.241408495,43,2,156.797582016,-718.982700363,0.432954199629,-117.46615476
0.0,1.0,-169.074928267,2.83787706641,17.0794684453,1.9163107435821187e-17,1.9163107435821187e-17,0.0,0.0,-326.637215197,43,3,135.889860256,-603.999013253,0.34212009731,-83.1414985562
0.0,1.0,-170.24499379,2.83787706641,17.0794684453,-7.37560392604443e-17,-7.37560392604443e-17,0.0,0.0,-326.932822226,44,4,163.145557044,-607.403955602,0.529747115638,-82.2104426156
0.0,1.0,-152.656260854,2.83787706641,17.0794684453,3.1050946987777604e-17,3.1050946987777604e-17,0.0,0.0,-289.321922933,45,5,155.476279268,-660.872081134,0.0208567327999,-101.120305232
0.0,1.0,-173.771323899,2.83787706641,17.0794684453,-2.0583948624261443e-17,-2.0583948624261443e-17,0.0,0.0,-339.588573271,42,6,136.762396144,-660.226436554,0.156496633922,-108.662378094
0.0,1.0,-140.653980193,2.83787706641,17.0794684453,6.480597855792896e-17,6.480597855792896e-17,0.0,0.0,-270.028167165,42,7,121.952123046,-538.645365923,0.141883397777,-23.1134651419
0.0,1.0,-173.473971083,2.83787706641,17.0794684453,1.439305220661945e-17,1.439305220661945e-17,0.0,0.0,-336.908043145,42,8,158.234181697,-646.524480679,0.434265798127,-99.6026327853
0.0,1.0,-159.988880942,2.83787706641,17.0794684453,-3.8188129959688834e-17,-3.8188129959688834e-17,0.0,0.0,-310.265554183,42,9,147.588163716,-612.422563591,0.259235213321,-14.4836862824
0.0,1.0,-162.953209632,2.83787706641,17.0794684453,1.1889851355383836e-17,1.1889851355383836e-17,0.0,0.0,-330.926117401,40,10,165.153372592,-649.576531765,0.505128947328,-40.2644785274
0.0,1.0,-156.362322452,2.83787706641,17.0794684453,6.060671213250573e-17,6.060671213250573e-17,0.0,0.0,-302.710062542,42,11,155.910039249,-610.595691156,0.31430664186,-16.7417337394
0.0,1.0,-176.540721114,2.83787706641,17.0794684453,2.138113830601839e-17,2.138113830601839e-17,0.0,0.0,-347.907165321,41,12,155.915279592,-654.19210578,0.515406506712,-123.195069138
0.0,1.0,-169.531463707,2.83787706641,17.0794684453,-9.633659627826984e-18,-9.633659627826984e-18,0.0,0.0,-308.540257404,48,13,138.77842429,-619.729576026,0.308524328545,-90.1219072254
0.0,1.0,-179.736228653,2.83787706641,17.0794684453,1.4599758657421591e-18,1.4599758657421591e-18,0.0,0.0,-341.73272781,43,14,149.41313837,-616.348865498,0.474159898356,-66.3665468037
0.0,1.0,-178.475856737,2.83787706641,17.0794684453,1.1027792645891797e-19,1.1027792645891797e-19,0.0,0.0,-338.58264764,43,15,139.120073533,-624.746002915,0.507449915329,-41.1176146856
0.0,1.0,-187.700160128,2.83787706641,17.0794684453,-6.727035084563666e-17,-6.727035084563666e-17,0.0,0.0,-373.017508683,39,16,160.854744467,-648.504858051,0.425368617483,-85.8929331797
0.0,1.0,-154.006269795,2.83787706641,17.0794684453,-6.264216716642814e-17,-6.264216716642814e-17,0.0,0.0,-298.16653828,42,17,151.25896422,-570.989728014,0.426346285448,-70.960382979
0.0,1.0,-168.249247099,2.83787706641,17.0794684453,-2.3321293626925114e-17,-2.3321293626925114e-17,0.0,0.0,-327.082070716,39,18,137.707015436,-550.662099944,0.338378754985,-56.3726923598
0.0,1.0,-157.593683228,2.83787706641,17.0794684453,-4.6555097318885685e-18,-4.6555097318885685e-18,0.0,0.0,-320.214319799,40,19,157.82151766,-634.881780711,0.45314521556,-67.1106181599
0.0,1.0,-181.645835258,2.83787706641,17.0794684453,4.677063343729166e-18,4.677063343729166e-18,0.0,0.0,-348.162439124,43,20,148.685952817,-610.128643228,0.208373535655,-114.281507919
0.0,1.0,-169.73794909,2.83787706641,17.0794684453,2.4593293052745214e-17,2.4593293052745214e-17,0.0,0.0,-332.20505138,41,21,161.202185308,-687.468842636,0.383056157732,-17.9352393395
0.0,1.0,-181.211390975,2.83787706641,17.0794684453,3.2369011582184467e-17,3.2369011582184467e-17,0.0,0.0,-351.126908665,42,22,193.624058565,-730.294177634,0.423268361065,-36.4640544232
0.0,1.0,-152.122878349,2.83787706641,17.0794684453,-7.734381863069411e-19,-7.734381863069411e-19,0.0,0.0,-291.530726978,42,23,162.085698969,-680.300750858,0.23493669685,-60.4141045347
0.0,1.0,-165.662132389,2.83787706641,17.0794684453,-1.7209009781602588e-17,-1.7209009781602588e-17,0.0,0.0,-332.780322831,41,24,127.815818901,-609.343304691,0.208092797722,-109.976748199
0.0,1.0,-149.438290742,2.83787706641,17.0794684453,5.591300429808421e-18,5.591300429808421e-18,0.0,0.0,-295.515330303,41,25,166.757384703,-605.314592365,0.547497535154,-77.1952702279
0.0,1.0,-147.615592936,2.83787706641,17.0794684453,-1.4571335549071554e-17,-1.4571335549071554e-17,0.0,0.0,-288.797501701,41,26,156.040662471,-618.574683775,0.404182743144,-38.6709268042
0.0,1.0,-145.932988044,2.83787706641,17.0794684453,7.772100901605375e-18,7.772100901605375e-18,0.0,0.0,-263.601137821,44,27,129.147308684,-539.496325342,-0.322043331917,-63.9213711969
0.0,1.0,-179.997308766,2.83787706641,17.0794684453,-1.609136066281181e-17,-1.609136066281181e-17,0.0,0.0,-347.599545745,43,28,141.540886778,-614.66709072,0.323073134063,-106.779291241
0.0,1.0,-158.221186014,2.83787706641,17.0794684453,-8.350818391511254e-18,-8.350818391511254e-18,0.0,0.0,-300.091153634,43,29,141.482403707,-627.253591405,0.245913389839,5.0743278535
0.0,1.0,-167.513066351,2.83787706641,17.0794684453,1.2709922790522985e-17,1.2709922790522985e-17,0.0,0.0,-326.579021265,41,30,180.224222325,-696.176323455,0.510638704464,-45.5631400701
0.0,1.0,-168.842880007,2.83787706641,17.0794684453,3.5999737346076774e-17,3.5999737346076774e-17,0.0,0.0,-320.317904452,42,31,139.151588235,-572.314823318,0.251634072291,-105.05627362
0.0,1.0,-169.297567515,2.83787706641,17.0794684453,1.0231195992809661e-17,1.0231195992809661e-17,0.0,0.0,-330.452996194,43,32,155.731903957,-661.498182237,0.118507557773,-55.5722114487
0.0,1.0,-156.124335066,2.83787706641,17.0794684453,4.063793915623262e-17,4.063793915623262e-17,0.0,0.0,-300.698773796,43,33,172.000596183,-634.118164562,0.504918817325,-93.1913888857
0.0,1.0,-152.436481548,2.83787706641,17.0794684453,-6.870564077182391e-17,-6.870564077182391e-17,0.0,0.0,-295.560436451,43,34,138.219146242,-641.501035126,0.425392754896,-26.6882612878
0.0,1.0,-170.099776833,2.83787706641,17.0794684453,-1.048482853946844e-17,-1.048482853946844e-17,0.0,0.0,-310.430631014,47,35,152.494643342,-566.477549758,0.398433942541,-12.8852993917
0.0,1.0,-185.787000362,2.83787706641,17.0794684453,1.2576640674230503e-17,1.2576640674230503e-17,0.0,0.0,-356.90251045,44,36,179.954908029,-691.678163981,0.430723968446,-56.8176479239
0.0,1.0,-183.5273219,2.83787706641,17.0794684453,-2.024283944285868e-17,-2.024283944285868e-17,0.0,0.0,-352.187858766,43,37,159.427402145,-666.505505015,0.428730005299,-89.5033102877
