MeanKL,LossBefore,MaxKL,ExplainedVariance,AverageDiscountedReturn,MinReturn,Iteration,NumTrajs,StdReturn,LossAfter,AverageReturn,MaxReturn,Perplexity,Entropy
0.4500200221405835,-0.013739626603764698,1.554814773852609,1.67202918178e-11,-99.3429516958,-500.0,0,2,0.0,0.0274935385594937,-500.0,-500.0,2.62073999796,0.963456719861
0.21068930347187706,-0.10363826496429113,0.8301697581684716,2.24701368623e-11,-69.9550614004,-148.0,1,7,21.8239710934,-0.10249543068482518,-122.0,-98.0,2.15948824603,0.769871270491
0.02256836558754981,-0.09255691504333775,0.09269236804318212,2.97869506838e-11,-62.5756464395,-113.0,2,9,7.99228022594,-0.09628176617368438,-98.1111111111,-84.0,1.66015255638,0.506909499582
0.013938707032426825,-0.09880175261065915,0.13817061589176388,3.57047724719e-11,-55.186211399,-100.0,3,10,12.1671689394,-0.11161685414429105,-80.6,-64.0,1.51734656684,0.416963129673
0.007596228331905203,-0.04807321796706504,0.10563444447300102,2.27423635479e-11,-64.5832988399,-186.0,4,8,30.6612030912,-0.06485239528531951,-107.125,-82.0,1.37943351699,0.321672919956
0.004314670804653995,-0.08539170778640573,0.08472424633011377,3.30161453732e-11,-57.4251588794,-113.0,5,10,13.1818056426,-0.09013685363730499,-85.8,-73.0,1.39194393814,0.33070128678
0.004632482163880162,-0.06229634922152582,0.08468453657384131,3.32368577105e-11,-59.1591883109,-99.0,6,9,6.81501610009,-0.06738088146417168,-89.3333333333,-79.0,1.36251720857,0.309333877616
0.004438456743839461,-0.08458050412238464,0.05662616369095401,3.50902640278e-11,-56.6306140367,-106.0,7,10,9.84073168011,-0.08651081318467028,-83.6,-69.0,1.35952251804,0.307133548426
0.007930202135163841,-0.09312022819270999,0.05629789157175088,3.42328387859e-11,-56.9624064115,-109.0,8,10,11.2182886395,-0.0997057736371844,-84.5,-72.0,1.33736157852,0.290698701737
0.008418361225286209,-0.07204820239022672,0.06640775597669585,2.39765984844e-11,-64.516241669,-173.0,9,8,26.2345192447,-0.08015359195981821,-106.0,-87.0,1.34047000293,0.293020300924
0.008737584578177617,-0.014973119129183789,0.08229044800068949,2.69243516371e-11,-63.4448028345,-137.0,10,8,17.6276593738,-0.015866384064857443,-101.625,-79.0,1.38098212234,0.322794928895
0.003462357811575651,-0.0987384548929327,0.06216969670963418,2.61689558911e-11,-65.9516815909,-136.0,11,8,13.7970784951,-0.10749359749750757,-108.125,-90.0,1.32798406676,0.28366205306
