AveragePolicySurr,AverageAbsQ,AverageAbsY,MinEsReturn,StdReturn,AverageAbsQYDiff,PolicyRegParamNorm,MinReturn,AverageQ,StdEsReturn,AverageEsReturn,MaxEsReturn,AverageAction,AverageDiscountedReturn,MaxReturn,Epoch,AverageQLoss,AverageY,QFunRegParamNorm,AverageReturn
-0.00343750867715,0.0150202822238,0.0149723869891,-13.2074137838,0.0132074004924,0.00949040754604,27.0904976187,-1.8170392299,0.00127540313838,41.5202878563,9.84354524357,92.8330246084,0.0444670468826,-0.43739258741,-1.76936699062,10,0.0264465253783,0.00163961039227,28.4431380995,-1.7786818753
-0.0262015804658,0.030307941442,0.0307702374162,-12.0460491392,0.00598543274412,0.00937276719673,27.5155387129,-0.68115755638,0.023405541107,48.4289190323,22.1996647611,90.6884988513,0.0167087028964,-0.164567032433,-0.662161350125,11,0.015255307068,0.0238370011952,30.2329230818,-0.668348115856
-0.038086567896,0.0438225934008,0.0437492823788,-12.9260345901,0.00516548495178,0.00525681983675,27.3639812401,-0.0338860093953,0.0331748252922,49.4803820469,36.5543474568,86.0347295037,0.000636163617458,-0.00634407026883,-0.019788551039,12,0.00150660662275,0.0333055667809,31.6166475333,-0.0254465446983
-0.0552458927672,0.0563624702606,0.05602421838,-12.8399303239,0.00464925726507,0.00425891457387,27.8481209085,-0.286346749094,0.0500172138281,47.8251484432,22.1897832822,89.8100949673,0.00678728995132,-0.0667910754149,-0.267243822434,13,0.000709473486206,0.0500397305089,32.519812578,-0.271491598053
-0.0606710334019,0.0629822927575,0.0628470387365,-12.4813863111,0.00202873955971,0.00358883866617,28.1956587532,-0.240867216126,0.055796913701,47.5259813167,21.9817017217,89.1862386704,0.00589024317316,-0.057663980876,-0.233473959746,14,0.000488024417551,0.0557878019459,33.4776869725,-0.235609726927
-0.0664156306254,0.0690504445303,0.0688836914433,-10.405613826,0.000396048719744,0.00414243425982,28.6439321904,-0.0318780268445,0.0613708660679,46.9731991677,56.0157779466,90.1598528116,0.000776685181468,-0.00757791174005,-0.0306530178677,15,0.000650648235203,0.0613856783968,34.4203185246,-0.0310674072587
-0.0895271358642,0.0928726578515,0.0927543201511,-8.19252954264,0.00104897216248,0.00508745598492,29.3041175815,-0.0726144802524,0.0844286362677,43.7315800098,67.5386716197,93.7697947413,0.00173147435672,-0.016903557234,-0.0682819817671,16,0.000997175148944,0.084436609474,35.4073966018,-0.0692589742689
-0.11000311398,0.11100163731,0.110908332703,87.956751461,0.00272025324437,0.00449841078169,29.9603969001,-0.560756686518,0.104531516826,2.18633916156,90.1334164694,93.1235153827,0.0138347832179,-0.136191010638,-0.550997949012,17,0.000666956480961,0.104539002687,36.2941570404,-0.553391328718
-0.126551140214,0.123716130291,0.123567378124,-12.1621637324,0.00252593311363,0.00606701069972,30.4924673121,-0.261055722835,0.120865733741,0.144529054125,-11.9605877528,-11.8305027568,0.00637681934148,-0.0627292845937,-0.252910144251,18,0.00176787879977,0.120869224964,37.2523881926,-0.255072773659
-0.13858100349,0.134518976012,0.134381033448,-23.0370255679,0.209183046872,0.00709521936507,31.1276929542,-39.1410974583,0.133166546397,56.5139829618,37.9610736907,94.6361673683,0.970946046996,-9.53090744648,-38.5652902253,19,0.00199820598393,0.133102747085,37.9957036907,-38.8378418798
-0.146344078931,0.144690123145,0.144812271141,-17.5376653749,0.290608626149,0.00681669284452,31.224687646,-31.5936967349,0.141343553783,47.8005422527,49.9369088663,87.2412862181,0.777118033394,-7.65929978021,-30.7275211766,20,0.00208880877085,0.141311823585,38.9112971072,-31.0847213358
