PolicyRegParamNorm,AverageDiscountedReturn,AverageAction,MaxReturn,StdReturn,AverageAbsY,StdEsReturn,AverageReturn,AverageQLoss,AverageY,AverageQ,Epoch,QFunRegParamNorm,MinReturn,AverageAbsQYDiff,MaxEsReturn,AverageAbsQ,AverageEsReturn,AveragePolicySurr,MinEsReturn
17.0328451235,-268.590630149,0.448340239713,-122.931860515,85.2090476289,0.475636220158,107.30504539,-561.924333369,0.306463263307,-0.457581648716,-0.456099612856,0,18.3194353929,-663.808610529,0.178636319636,-229.736338549,0.457732238816,-337.472300227,0.307447632082,-483.894487184
18.1454348515,-46.7238535581,0.122918125367,128.695255921,75.8108887162,0.491126121917,27.8159135926,-165.856497971,0.178519848695,-0.465366416836,-0.465170359607,1,22.8843218593,-282.994190055,0.132766133637,-204.34060462,0.470799435973,-232.156518212,0.259466945489,-259.972431805
19.5538439365,-5.82863610349,0.114586362288,-2.07669223178,29.0723131597,0.487721337536,68.1604490997,-55.3349846923,0.180909025702,-0.43405596294,-0.436503738892,2,27.7009279778,-115.982102196,0.145582262166,-120.259496638,0.456577736412,-188.419945737,0.249992882947,-256.580394837
20.3626054294,-20.6798022723,0.199555996121,57.7664056167,108.21543739,0.492416835106,0.0,-40.6447851294,0.093622727085,-0.389889183477,-0.391498625727,3,31.1965903833,-475.038504726,0.123143306558,-42.6082987464,0.470023575265,-42.6082987464,0.127262831195,-42.6082987464
21.2254686746,-142.626325691,0.348130646917,102.413308083,208.801098194,1.1655568436,118.739622138,-262.764443875,0.223299754414,-1.0051379571,-1.00580641464,4,34.1648832664,-763.295386287,0.151709170796,-797.697705431,1.14786855617,-916.437327569,0.789010201699,-1035.17694971
22.2282354795,4.63221413438,0.122242418367,31.8179131809,26.9072362984,1.68504383366,0.0,-9.72236558162,0.308651995232,-1.46655759389,-1.46871246122,5,37.0404435032,-77.824971402,0.175190022912,-411.013763644,1.66433283265,-411.013763644,1.25200225357,-411.013763644
23.0104059524,6.74506979737,0.122177392531,62.8886397614,27.0395853192,1.50207291655,0.0,0.424264866877,0.2415332069,-1.19338036438,-1.19604737655,6,39.5032774154,-52.4771565905,0.164156408152,21.6117416697,1.48693933864,21.6117416697,0.960951102086,21.6117416697
23.7557260199,7.13641658078,0.11880039318,64.7553020679,36.6218176651,1.37056881909,0.0,1.07738744592,0.163372966419,-0.947799772026,-0.94984304694,7,41.3031114013,-135.374417949,0.147542326309,26.2802880734,1.35952535969,26.2802880734,0.732810407494,26.2802880734
24.5509318717,10.1040047992,0.130559262371,53.3761588181,27.1565251782,1.29901636094,0.0,9.98178396524,0.117509076402,-0.749873320426,-0.751982400039,8,42.7057080908,-50.6834398217,0.132676663461,-9.99750285629,1.29109637709,-9.99750285629,0.549861883688,-9.99750285629
25.3335105701,8.76612231828,0.149397758682,71.8828208501,30.6029482892,1.29729252975,0.0,2.98966333797,0.102707614948,-0.587751061941,-0.589619230549,9,44.1431302723,-57.0250860791,0.129143289639,89.4737655276,1.28902329767,89.4737655276,0.391569391019,89.4737655276
26.0398653822,4.12369560164,0.159650490775,51.6821620492,33.5003058991,1.27461725134,0.0,-21.3530861531,0.0748879969382,-0.409493044517,-0.410477368926,10,45.4700499895,-90.6914177998,0.122251613075,13.1888130992,1.26778982424,13.1888130992,0.229622740658,13.1888130992
26.697023316,-3.66559993498,0.176152241967,45.9204702184,129.697506461,1.28995381424,0.0,-83.9854979347,0.0549317603095,-0.279952589075,-0.28128182425,11,46.5215980443,-459.99255358,0.110561846187,6.80197877794,1.28348895997,6.80197877794,0.12108335984,6.80197877794
27.3219521686,8.23882564802,0.197357945729,24.0184044054,48.2778595507,1.31605856235,0.0,-27.0073465322,0.0581823579593,-0.176823865331,-0.177815061165,12,47.59248044,-267.38876981,0.11608394483,52.1879304424,1.31036643483,52.1879304424,0.0260632812905,52.1879304424
27.7750964904,8.6454852784,0.20785484706,15.5889467811,15.9463100508,1.33840383742,0.0,-10.0846221255,0.0467894857263,-0.0767338716968,-0.077773083422,13,48.4621576841,-56.8441229186,0.108280903041,2.45388433075,1.33324162093,2.45388433075,-0.0558717653288,2.45388433075
28.1815453457,7.2117350915,0.212568107274,22.6199431344,16.4561212403,1.36637984806,0.0,-15.3389643321,0.0514280665024,-0.005350088406,-0.00613380097041,14,49.3501567841,-55.6252180594,0.110721001064,27.2873884344,1.36150648728,27.2873884344,-0.113547177991,27.2873884344
28.5140326472,0.548944452022,0.215191702441,-7.91490236424,83.244952515,1.39252407712,0.0,-77.9681839081,0.030241873972,0.0798844550536,0.0789757653568,15,50.0876525107,-334.101388184,0.100767284536,38.3549458355,1.38884799104,38.3549458355,-0.190275903684,38.3549458355
28.7957170522,-2.95566498138,0.213184062638,-1.40819125742,127.17444129,1.40441206373,0.0,-112.362513413,0.0422777964272,0.155121658906,0.154411585411,16,50.9206192515,-432.963124425,0.107198430025,-8.38762444349,1.400506809,-8.38762444349,-0.262328534552,-8.38762444349
29.1702215426,-12.7236425079,0.209176026152,-11.1119830956,101.921400445,1.40086946993,0.0,-134.726916717,0.0294043546852,0.263089840071,0.262389809376,17,51.5709124527,-353.639801029,0.100529647382,-19.6968860958,1.39708023119,-19.6968860958,-0.356259835419,-19.6968860958
29.5459921532,-11.3339587208,0.191946565901,-40.275556349,66.246040404,1.43924302565,0.0,-128.06234037,0.0328847201074,0.381985457626,0.381173632382,18,52.2489560251,-263.428774649,0.103797406701,-211.979910825,1.43582572188,-211.979910825,-0.46987442251,-211.979910825
