AverageAbsQYDiff,MaxReturn,AverageReturn,QFunRegParamNorm,StdReturn,Epoch,AverageQ,MinEsReturn,MinReturn,AverageQLoss,AveragePolicySurr,AverageAction,AverageAbsQ,AverageY,AverageEsReturn,MaxEsReturn,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageDiscountedReturn
0.534363776458,232.260716656,-204.369442773,26.4770531208,109.946538225,9,0.00574486407063,-736.376243516,-400.644625767,1.8361017854,0.0812140038934,7.57360851694e-05,0.00909718483663,-0.455652881186,-380.16946573,-32.5884926895,26.4756802825,0.531789401179,192.820780318,-97.8887112747
0.271664866125,-9.95257687575,-68.4641976926,29.6578831654,48.6989702346,10,-0.489474349167,-584.389756254,-171.377118489,0.701019075338,0.448812863496,0.101691320037,0.489974581088,-0.48952802428,-347.850680198,-164.9249905,28.5217723969,0.539829589448,159.808682807,5.24861996899
0.209268859029,28.4620738048,-26.3427281269,32.1444316913,30.2951289323,11,-0.618618786968,-148.000702675,-119.30725673,0.443972178737,0.468889875021,0.126846336814,0.631990680455,-0.620554328052,-60.5705338835,18.3931368604,29.4919925713,0.67006985789,68.1932970836,10.7499590779
0.17660606696,15.3241447809,-23.1482943706,34.0879052562,23.6363903993,12,-0.665755967549,-42.2049936331,-70.6401099551,0.289598114594,0.463521460542,0.126781273008,0.71412452431,-0.664286232837,-13.4079536089,15.3890864153,29.8461825573,0.743344034825,28.7970400242,7.90648212042
0.163754163276,8.36887009391,-33.7419755389,36.2944307176,22.1240628585,13,-0.676093727019,-55.3619643777,-71.7682012211,0.222786283261,0.465995837914,0.131528203905,0.786917324476,-0.674418070886,-19.8595061885,20.7393602972,30.0967329637,0.815792367153,31.2765400629,-0.145732301153
0.14713166994,40.3213379392,-15.5803179574,38.08255809,22.9079467202,14,-0.640945684722,-26.3634972051,-54.9931459045,0.158474322946,0.437727406285,0.129626203218,0.838407203692,-0.638271718904,12.6637818749,51.6910609549,30.3549546034,0.865856617235,39.02727908,7.69415338088
0.144551628286,22.6264554575,-9.67014366459,39.7925108032,21.4035462195,15,-0.616378605372,-52.600550645,-62.4057137704,0.138399558958,0.413070045264,0.131822336716,0.90780462896,-0.614562641212,-39.2642637917,-17.7014982102,30.5887908658,0.931777042371,15.3892208902,10.2659575423
0.139298700115,16.1009988345,-29.2350578548,41.2251774867,18.9228449235,16,-0.589660337874,-13.4101861309,-66.6535991307,0.128372732466,0.390667490722,0.129707562738,0.970389493299,-0.587949550317,-2.15077251284,9.10864110523,30.7747562162,0.993676317246,11.2594136181,3.16611741894
0.137046258555,24.5231425415,-18.6956271998,42.8155750546,21.9917858366,17,-0.556589023972,-41.3418845285,-54.3269666251,0.113825209438,0.358177934626,0.143819119662,1.03221624323,-0.555243887301,-24.1382174438,-15.4334434507,31.0899002158,1.05153988432,12.1651200188,5.46843926963
0.135341423863,28.1946622221,-6.75437871291,44.3804133379,20.4238436645,18,-0.512227166736,-39.7753945341,-43.8187184572,0.115510197206,0.309607189478,0.208249696735,1.08271815897,-0.510835107249,16.3858377211,72.5470699763,31.4825404792,1.10071598781,56.1612322552,9.9092264869
