Epoch,MinReturn,AverageReturn,MaxReturn,Steps,StdReturn
101,-371.773502735,-344.124363432,-299.342701461,121200,31.9551533977
102,-393.539897529,-332.194269834,-289.127314013,122400,44.5427082188
103,-470.838324283,-349.861374142,-218.597866562,123600,103.233302365
104,-447.301114429,-353.647093525,-303.043157187,124800,66.2951576553
105,-465.491506684,-364.730201949,-255.135377351,126000,86.1043885519
106,-434.727752582,-334.343541991,-283.817912152,127200,70.9828784079
107,-384.26636838,-344.19453554,-321.286449205,128400,28.4319444801
108,-515.784475684,-391.621249054,-293.270371684,129600,92.6564969856
109,-365.612199135,-341.313370245,-311.559912362,130800,22.4012969782
110,-487.87157937,-443.861763721,-381.607332083,132000,45.2597840053
111,-455.649670547,-332.19965172,-266.916648458,133200,87.3406727766
112,-476.776173069,-421.846178215,-316.738113238,134400,74.3479396245
113,-489.744978106,-377.782576898,-288.091998329,135600,83.8172878983
114,-407.397108079,-370.527431779,-336.682870659,136800,28.9481068448
115,-427.070946755,-355.905082424,-319.400965572,138000,50.3274859676
116,-490.647302771,-356.126473693,-209.395453508,139200,115.144741532
117,-410.891934605,-339.111921505,-279.14807843,140400,54.4293261364
118,-619.064640564,-466.813859332,-384.262067079,141600,107.785354377
119,-558.945291521,-481.750552437,-367.647771003,142800,82.3421238155
120,-463.489766081,-433.835976299,-406.227480906,144000,23.4219234582
121,-601.337233308,-481.26393203,-341.792515178,145200,106.842813963
122,-663.989660655,-429.012060815,-264.707417666,146400,170.494530698
123,-577.095361857,-522.568547961,-478.232106985,147600,40.9989314181
124,-574.674150842,-480.378117206,-346.501967343,148800,97.2645037377
125,-555.805029347,-451.6724917,-384.209922847,150000,74.6982155174
126,-424.265164639,-379.692223548,-334.858371911,151200,36.5006365444
127,-572.778373755,-458.07807541,-345.686022684,152400,92.7244303553
128,-631.704447375,-481.113108394,-278.035252985,153600,149.078504084
129,-601.659370068,-493.707516745,-419.048525783,154800,78.1792433057
130,-489.459362293,-459.895309135,-427.903101504,156000,25.1888237279
131,-509.584893594,-433.903426971,-365.426668137,157200,59.0724377494
132,-494.412750768,-468.978169089,-454.840324269,158400,18.0223274948
133,-524.89094581,-429.080185354,-338.03138719,159600,76.3593734723
134,-508.278310066,-440.644690814,-388.559258774,160800,50.0963897884
135,-436.777516692,-377.231172737,-341.558577945,162000,42.3802508909
136,-392.860489147,-358.277227871,-294.671777825,163200,45.0331088461
137,-421.616765874,-373.924082463,-326.128893391,164400,38.9828280863
138,-397.625236331,-328.466499201,-281.439436813,165600,49.9475943541
139,-383.985193136,-356.525402047,-303.377628951,166800,37.588111291
140,-344.854611851,-334.004659432,-325.83896222,168000,7.99177294642
141,-276.61500012,-274.268547826,-271.685157137,169200,2.01956147228
142,-361.932667696,-319.343525073,-289.487379247,170400,30.915765775
143,-374.189260894,-320.333290951,-286.521565117,171600,38.4944585808
144,-337.144843091,-310.394487173,-291.423804493,172800,19.459287918
145,-272.020099606,-267.110117474,-257.335189301,174000,6.9119424504
146,-403.901936195,-313.468801856,-241.250824435,175200,67.6396826101
147,-303.44143086,-258.069856451,-228.889309771,176400,32.5178589279
148,-262.730928651,-260.093529353,-256.048662095,177600,2.90389349268
149,-385.446626363,-207.670518784,10.6630931873,178800,164.234407383
150,-267.369716517,-251.456516274,-231.934807817,180000,14.6895470158
151,-251.88183112,-205.247020353,-139.934698452,181200,47.5722411686
152,-257.273141712,-248.686796046,-240.205343022,182400,6.9682943814
153,-301.306302518,-247.728451672,-181.106839685,183600,49.9305016659
154,-203.353595509,-130.744191724,-62.7951988341,184800,57.477272559
155,-214.653977337,-194.037122012,-183.089134525,186000,14.587667837
156,-269.415028535,-167.209787897,-30.9184125367,187200,100.304727027
157,-192.359907291,-186.196733567,-180.770068987,188400,4.76010660031
158,-224.175416632,-156.992567234,-48.5180626236,189600,77.4279325003
159,-193.674491088,-144.18865686,-101.32321783,190800,37.9917679027
160,-158.680443684,-122.885675317,-67.3476059905,192000,39.814321208
161,-229.025887847,-209.357042827,-191.706909345,193200,15.3021335402
162,-195.332582818,-190.24790609,-183.717962225,194400,4.85052922913
163,-195.154098033,-179.650024556,-149.773554322,195600,21.1309059325
164,-197.557793947,-181.924781137,-156.819824038,196800,17.9291911796
165,-214.406576187,-187.797647433,-166.6740461,198000,19.8689912482
166,-166.858580836,-154.656998918,-142.914821335,199200,9.78039515244
167,-209.675054215,-188.75403542,-175.418655881,200400,14.9784656285
168,-170.886761355,-165.21921139,-161.641355073,201600,4.0533524389
169,-181.78324322,-176.912875813,-174.119931679,202800,3.45623605816
170,-181.43870894,-169.939695531,-153.280678429,204000,12.0606218512
171,-222.902857219,-174.488308191,-145.431958036,205200,34.4624428692
172,-164.948945015,-153.750291485,-140.62732071,206400,10.0220623244
173,-248.32981584,-204.423355464,-164.68590616,207600,34.274493885
174,-199.485576112,-173.728028686,-125.931552701,208800,33.8312909304
175,-197.869753222,-189.758269,-183.851884523,210000,5.93138597524
176,-197.493755947,-186.189476469,-176.913110289,211200,8.52349960151
177,-210.569626878,-183.332793844,-161.088501701,212400,20.5067393085
178,-193.260581887,-189.891236249,-187.853930776,213600,2.39982184192
179,-184.468440923,-170.526573166,-161.029540544,214800,10.0718396958
180,-207.926348774,-194.405003514,-171.128957835,216000,16.5303282924
181,-199.237092278,-184.864368425,-169.040785051,217200,12.3702058066
182,-243.905399325,-234.816491196,-219.970033758,218400,10.5857596722
183,-185.183095353,-122.711368463,-26.7509929799,219600,68.8781530628
184,-197.733930094,-181.8302885,-166.270241742,220800,12.8472945076
185,-176.083111736,-168.664977408,-154.58115209,222000,9.96350488603
186,-201.103125999,-190.632911668,-176.49115108,223200,10.3777812752
187,-210.745567848,-194.518937811,-180.327649077,224400,12.5011841108
188,-238.109296124,-200.715036564,-181.832557325,225600,26.4421675922
189,-222.214215284,-218.251509397,-213.241496056,226800,3.73720593169
190,-249.017307201,-227.398198005,-204.777051474,228000,18.074901859
191,-232.72916373,-213.836665226,-187.921377036,229200,18.9547552226
192,-242.501726729,-217.303471873,-204.677207462,230400,17.8178706593
193,-364.979918144,-294.25329055,-205.342270404,231600,66.428150375
194,-260.132128588,-192.866935577,-115.853854521,232800,59.30329436
195,-250.675578361,-232.961973182,-218.367400067,234000,13.3728796929
196,-261.682953505,-226.347965013,-201.822063208,235200,25.605452714
197,-274.725146991,-219.594157389,-170.157751474,236400,42.8789479333
198,-212.053932354,-194.318122752,-162.953382032,237600,22.2415052402
199,-227.24736698,-201.590247753,-165.483138371,238800,26.275548895
200,-240.207265109,-218.070559057,-202.253007642,240000,16.1261733723
201,-246.488292896,-180.960684804,-93.8081667473,241200,64.1796062023
202,-272.352451327,-209.838336145,-150.556700917,242400,49.7754149452
203,-263.128056056,-218.877629764,-193.889096989,243600,31.3769954962
204,-256.580243148,-230.994062607,-204.226962848,244800,21.3894431468
