MinReturn,MaxReturn,ExplainedVariance,LossAfter,LossBefore,Iteration,StdReturn,Entropy,AverageDiscountedReturn,AverageReturn,AveragePolicyStd,Perplexity,MeanKL,MaxKL,NumTrajs
-12.7060032966,-12.7060032966,1.2316768716e-09,-0.06039392669461344,-0.06357300247029596,36,0.0,1.31456186664,-8.25369763775,-12.7060032966,0.900885899913,3.72311940506,0.002437946867509106,0.004167168443046862,1
-14.8420638348,-14.8420638348,1.28567656521e-09,-0.05101506283353899,-0.051699535144742334,37,0.0,1.30874278733,-9.67532490272,-14.8420638348,0.895658796618,3.70151719138,0.0001886417106071833,0.00042838812910762913,1
-16.5903441191,-16.5903441191,8.71645644551e-10,0.04491662696294998,0.045527591798816235,38,0.0,1.30270488057,-10.3282774008,-16.5903441191,0.890267185721,3.67923511198,0.00015702910486507516,0.00026209391432091556,1
-15.0098957267,-15.0098957267,1.3878470595e-09,-0.15761183345346555,-0.15476333095789419,39,0.0,1.29793433793,-9.70494763323,-15.0098957267,0.88603024244,3.66172496363,0.000228632392720082,0.0003944632135277071,1
-13.2890294496,-13.2890294496,1.84344550735e-09,0.01218104907012492,0.021092089340174,40,0.0,1.29163887042,-7.90259044196,-13.2890294496,0.880469789029,3.63874510348,0.0034679442903372327,0.003937271915751231,1
-17.7700753324,-17.7700753324,1.10831599454e-09,-0.18814133841227806,-0.18755187031641113,41,0.0,1.28622308619,-11.9445562259,-17.7700753324,0.875714243763,3.61909171245,0.0006949789993120631,0.0008051670164949953,1
-16.7385273632,-16.7385273632,8.11077871532e-10,-0.16671903740476332,-0.164048851388144,42,0.0,1.27914875923,-11.0095685916,-16.7385273632,0.86954101634,3.59357942192,7.565504592676881e-05,8.97739975101175e-05,1
-21.4911277352,-21.4911277352,5.64119417845e-10,-0.1800957274989323,-0.16617669023685788,43,0.0,1.27093548644,-14.3879005623,-21.4911277352,0.862428487323,3.56418525025,0.003442463690878752,0.0038302518825462373,1
-14.4488359718,-14.4488359718,1.2426792928e-09,-0.17512186552956174,-0.15640812554760214,44,0.0,1.26177064316,-9.81534150052,-14.4488359718,0.854560574563,3.53166928049,0.009241957644228747,0.010636420479085529,1
-12.8849258028,-12.8849258028,2.19556817171e-09,0.0502000778198495,0.05056509328379114,45,0.0,1.25188712763,-7.97084255339,-12.8849258028,0.846156113076,3.49693589899,0.007314878425830058,0.007976803120318676,1
-9.95107205226,-9.95107205226,3.09216419137e-09,0.06505169232940279,0.06093088735224476,46,0.0,1.24354979878,-5.90176596863,-9.95107205226,0.839130758349,3.46790199524,0.0037442685953090714,0.00394468235336104,1
-8.23081389073,-8.23081389073,3.82025033829e-09,-0.0324179053026908,-0.032510413789045026,47,0.0,1.23675643647,-4.728006527,-8.23081389073,0.833449558152,3.44442312105,4.7765152640419084e-05,4.8945175550763054e-05,1
-8.08336941017,-8.08336941017,3.68826569286e-09,-0.10394833638764825,-0.10208157044280368,48,0.0,1.23019152877,-5.35309028677,-8.08336941017,0.827995959501,3.42188486292,0.00016839591560724205,0.00018044860865634726,1
-11.9752975071,-11.9752975071,1.38295475072e-09,-0.03510319956107559,-0.01642451924781466,49,0.0,1.22307459,-7.82178044606,-11.9752975071,0.822124082634,3.39761797328,0.004430556951704997,0.004940990868224332,1
-8.95979580504,-8.95979580504,3.76290509863e-09,0.0011559245816057473,-0.0008506248965851348,50,0.0,1.21640671383,-5.58289732883,-8.95979580504,0.816660496555,3.37503843979,0.0023293010529869497,0.002935650533163303,1
-9.54999807913,-9.54999807913,2.63807997669e-09,-0.03721214105415367,-0.0379498325077988,51,0.0,1.21033694542,-5.91396300478,-9.54999807913,0.811718569824,3.35461478424,0.0012671835768113392,0.001405772274658601,1
-9.00341368232,-9.00341368232,3.63189878172e-09,-0.024132008714380353,-0.022707207402350514,52,0.0,1.20435865644,-5.7388530092,-9.00341368232,0.806880358167,3.33461975522,0.0013234125453372414,0.0017338328943198311,1
-6.92684315766,-6.92684315766,8.51758674703e-09,-0.05185832879871703,-0.0500386969391109,53,0.0,1.19864489645,-4.30738423339,-6.92684315766,0.802283183543,3.31562086751,6.558197358015244e-05,6.919469888527763e-05,1
-9.15689515394,-9.15689515394,4.08160638621e-09,-0.05523865299923109,-0.04667474829328892,54,0.0,1.19283882522,-5.68223476009,-9.15689515394,0.79763856677,3.29642591415,0.0015579621219749163,0.0016764745862400399,1
-8.07663768152,-8.07663768152,5.37628075392e-09,-0.008002667845949982,-0.008173055944380971,55,0.0,1.1869865183,-5.09421947257,-8.07663768152,0.792984173816,3.27719055845,0.0010279449046440262,0.0013601631143978499,1
-9.03222625875,-9.03222625875,4.20537893397e-09,0.038179818433331375,0.037501947493114765,56,0.0,1.18156719882,-5.80851106015,-9.03222625875,0.788698362816,3.25947845295,2.4908207950753435e-05,3.596500573768702e-05,1
-7.36925772828,-7.36925772828,5.55536094904e-09,-0.05047128726253478,-0.04828900983710039,57,0.0,1.17714389968,-4.59107691238,-7.36925772828,0.785217418325,3.24509264451,0.0003620141246794731,0.0004383988717628906,1
-9.81357160847,-9.81357160847,2.97606805866e-09,-0.12335062774189158,-0.12171980765879314,58,0.0,1.17251209213,-6.53240207831,-9.81357160847,0.781588852261,3.23009675577,3.724314160862941e-05,4.1177251778379276e-05,1
-11.0354848555,-11.0354848555,2.26439833551e-09,-0.2542913659441517,-0.24270568551433092,59,0.0,1.16683078422,-7.63471151881,-11.0354848555,0.777160995246,3.21179761225,0.0015136087801613629,0.0015583413962465542,1
-7.43707615927,-7.43707615927,6.26258045422e-09,-0.15143943109248986,-0.14548050466794465,60,0.0,1.15914912126,-5.04227239833,-7.43707615927,0.771213977156,3.18722018413,0.0021973536425631164,0.0022255957705148433,1
-8.24026869946,-8.24026869946,5.22545196002e-09,-0.0028843709784179207,-0.004086100148333869,61,0.0,1.15063582281,-5.03197751986,-8.24026869946,0.764676270609,3.1602015993,0.0001665148476351702,0.0002328286459384321,1
-5.95759220231,-5.95759220231,7.57780660443e-09,-0.02708694754254017,-0.025095030319148462,62,0.0,1.14286213019,-3.80506112184,-5.95759220231,0.758754957377,3.13573040245,0.0005751226967870471,0.0006386066121369938,1
-7.74538212004,-7.74538212004,5.16230225234e-09,-0.058259125896439196,-0.0580178687425821,63,0.0,1.13551321582,-4.94512454195,-7.74538212004,0.753199370936,3.11277065617,0.00022698231537299107,0.0002421160589791138,1
-7.19986236993,-7.19986236993,6.6428454959e-09,0.04099569532430312,0.04067923758517481,64,0.0,1.1281739192,-4.42347951749,-7.19986236993,0.747691653452,3.09000873943,0.00023362318700827277,0.00026040394564935676,1
-6.77047885635,-6.77047885635,6.49926679142e-09,-0.08836871186138824,-0.0873254914768025,65,0.0,1.12202166161,-4.37162648796,-6.77047885635,0.743105782992,3.0710565688,4.484272759702146e-05,4.592395485575329e-05,1
-6.08579002322,-6.08579002322,8.41520952921e-09,-0.043841610922140256,-0.03579468546083612,66,0.0,1.1154338479,-3.70758476063,-6.08579002322,0.73822643031,3.05089151499,0.0012856018742887926,0.0017327263912733093,1
-6.63732362335,-6.63732362335,8.55541004707e-09,-0.06498845020975906,-0.05793816452272708,67,0.0,1.10903215746,-4.17762746184,-6.63732362335,0.733515627864,3.03142303401,0.0030215145268079314,0.003421202633200837,1
-7.62842368377,-7.62842368377,3.65241659139e-09,-0.056094273606527495,-0.050728458719397324,68,0.0,1.10254105106,-5.18426624148,-7.62842368377,0.728769719636,3.01180947027,0.00022258975777786683,0.00028996924542029623,1
-7.38238750021,-7.38238750021,6.35814934036e-09,-0.050652417812629205,-0.04587915508374284,69,0.0,1.09604967958,-4.56482768199,-7.38238750021,0.724054325907,2.99232201477,0.0005317428543711055,0.0006737183337902075,1
-8.06157356646,-8.06157356646,3.29173210911e-09,-0.09233836661702385,-0.09065644587034863,70,0.0,1.08961216357,-5.13382737861,-8.06157356646,0.719408185439,2.97312076437,0.0006617014029899809,0.0008642188436442932,1
